num_clusters,Run_Time,m,lowers,uppers,budgetViolation,perClusterVio,worstPossibleFairVio,cluster_szs,additive_violations,max_add_violation,objective,FairType,name,num_colors
10,32.52374164899811,0.001,"[0.544765560716645, 0.3332984074319841]","[0.6996315957629826, 0.43856103615227476]",0.006982617958299853,"[0, 0.006982617958299853, 0, 0, 0, 0, 0, 0, 0, 0]",0.5614389638477253,"[4426, 95, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.663348706038486, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.663348706038486,20.502329268573778,FairType.ROBUST,bank_binary_marital,2
10,38.12430105000385,0.002,"[0.544765560716645, 0.3332984074319841]","[0.6996315957629826, 0.43856103615227476]",0.0017194600635630497,"[0, 0.0017194600635630497, 0, 0, 0, 0, 0, 0, 0, 0]",0.5614389638477253,"[4331, 190, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.32669741207697944, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.32669741207697944,21.510812080894237,FairType.ROBUST,bank_binary_marital,2
10,37.414032946995576,0.003,"[0.544765560716645, 0.3332984074319841]","[0.6996315957629826, 0.43856103615227476]",0.0024713397628111644,"[0, 0.0024713397628111644, 0, 0, 0, 0, 0, 0, 0, 0]",0.5614389638477253,"[4255, 266, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.6573763769077697, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6573763769077697,21.988051004745035,FairType.ROBUST,bank_binary_marital,2
10,32.637787047999154,0.004,"[0.544765560716645, 0.3332984074319841]","[0.6996315957629826, 0.43856103615227476]",0.000888435132815113,"[0, 0.000888435132815113, 0, 0, 0, 0, 0, 0, 0, 0]",0.5614389638477253,"[4160, 361, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.3207250829462558, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3207250829462558,22.334937701048787,FairType.ROBUST,bank_binary_marital,2
10,34.58070575699821,0.005,"[0.544765560716645, 0.3332984074319841]","[0.6996315957629826, 0.43856103615227476]",0.0007982315822789854,"[0, 0.0007982315822789854, 0, 0, 0, 0, 0, 0, 0, 0]",0.5614389638477253,"[4084, 437, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.3488272014559166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3488272014559166,22.512449700491988,FairType.ROBUST,bank_binary_marital,2
10,31.168344768004317,0.006,"[0.544765560716645, 0.3332984074319841]","[0.6996315957629826, 0.43856103615227476]",0.0012885879078756157,"[0, 0.0012885879078756157, 0, 0, 0, 0, 0, 0, 0, 0]",0.5614389638477253,"[3989, 532, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.6855287669898276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6855287669898276,22.69891889756934,FairType.ROBUST,bank_binary_marital,2
10,34.42649142499431,0.007,"[0.544765560716645, 0.3332984074319841]","[0.6996315957629826, 0.43856103615227476]",0.0005837006898304908,"[0, 0.0005837006898304908, 0, 0, 0, 0, 0, 0, 0, 0]",0.5614389638477253,"[3913, 608, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.35489001941693843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.35489001941693843,22.82105198062545,FairType.ROBUST,bank_binary_marital,2
10,28.029956846999994,0.008,"[0.544765560716645, 0.3332984074319841]","[0.6996315957629826, 0.43856103615227476]",0.000983771813585832,"[0, 0.000983771813585832, 0, 0, 0, 0, 0, 0, 0, 0]",0.5614389638477253,"[3818, 703, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.6915915849508398, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6915915849508398,22.964647368733942,FairType.ROBUST,bank_binary_marital,2
10,37.61554356999841,0.009000000000000001,"[0.544765560716645, 0.3332984074319841]","[0.6996315957629826, 0.43856103615227476]",0.0004633540916276768,"[0, 0.0004633540916276768, 0, 0, 0, 0, 0, 0, 0, 0]",0.5614389638477253,"[3742, 779, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.36095283737796025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.36095283737796025,23.077724681715758,FairType.ROBUST,bank_binary_marital,2
10,34.36764603800111,0.01,"[0.544765560716645, 0.3332984074319841]","[0.6996315957629826, 0.43856103615227476]",0.0007982315822789854,"[0, 0.0007982315822789854, 0, 0, 0, 0, 0, 0, 0, 0]",0.5614389638477253,"[3647, 874, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.6976544029118332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6976544029118332,23.149125067485116,FairType.ROBUST,bank_binary_marital,2
