max_points,num_clusters,Run_Time,m,lowers,uppers,budgetViolation,perClusterVio,worstPossibleFairVio,objective,FairType,name,num_colors
1000,5,2.4586284790000263,[0.005],"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]","(0.47380277777777113,)","([0, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113],)",0.47380277777777113,31.82878824168397,FairType.DET,diabetes,2
2000,5,4.169785746999878,[0.005],"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]","(0.47380277777777113,)","([0, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113],)",0.47380277777777113,31.90809852164954,FairType.DET,diabetes,2
3000,5,5.725847081999973,[0.005],"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]","(0.47380277777777113,)","([0, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113],)",0.47380277777777113,33.00646528507572,FairType.DET,diabetes,2
4000,5,8.644703286000095,[0.005],"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]","(0.47380277777777113,)","([0, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113],)",0.47380277777777113,36.768124289989785,FairType.DET,diabetes,2
5000,5,9.960870346999855,[0.005],"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]","(0.47380277777777113,)","([0, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113],)",0.47380277777777113,70.80293427616218,FairType.DET,diabetes,2
6000,5,12.452283378999937,[0.005],"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]","(0.47380277777777113,)","([0, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113],)",0.47380277777777113,77.50606980197702,FairType.DET,diabetes,2
7000,5,20.81195539800001,[0.005],"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]","(0.47380277777777113,)","([0, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113],)",0.47380277777777113,48.46930983207296,FairType.DET,diabetes,2
8000,5,20.295734040999832,[0.005],"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]","(0.47380277777777113,)","([0, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113],)",0.47380277777777113,89.52537533079658,FairType.DET,diabetes,2
9000,5,29.78029901900004,[0.005],"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]","(0.47380277777777113,)","([0, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113],)",0.47380277777777113,54.92143377283435,FairType.DET,diabetes,2
10000,5,35.39341657299997,[0.005],"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]","(0.47380277777777113,)","([0, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113],)",0.47380277777777113,57.88740583597073,FairType.DET,diabetes,2
11000,5,34.52785363199996,[0.005],"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]","(0.47380277777777113,)","([0, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113],)",0.47380277777777113,60.653440313739324,FairType.DET,diabetes,2
12000,5,39.86644120899996,[0.005],"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]","(0.47380277777777113,)","([0, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113, 0.47380277777777113],)",0.47380277777777113,63.38359887734097,FairType.DET,diabetes,2
