max_points,num_clusters,Run_Time,m,lowers,uppers,budgetViolation,perClusterVio,worstPossibleFairVio,objective,FairType,name,num_colors
1000,5,4.718646711000019,0.005,"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]",0.0071361111111044595,"[0, 0.0071361111111044595, 0.004013888888888928, 0.004013888888888928, 0.0071361111111044595]",0.47380277777777113,32.37243516926573,FairType.ROBUST,diabetes,2
2000,5,10.093094379999911,0.005,"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]",0.0,[0],0.47380277777777113,33.39010106538901,FairType.ROBUST,diabetes,2
3000,5,9.686030425999888,0.005,"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]",0.0,[0],0.47380277777777113,33.50295787876253,FairType.ROBUST,diabetes,2
4000,5,17.90595259199972,0.005,"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]",0.0,[0],0.47380277777777113,37.95689755750409,FairType.ROBUST,diabetes,2
5000,5,21.555317281000043,0.005,"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]",0.0004694444444377499,"[0, 0.0004694444444377499]",0.47380277777777113,70.9286155167545,FairType.ROBUST,diabetes,2
6000,5,25.340006477000315,0.005,"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]",0.00031018518518521887,"[0, 0.00031018518518521887]",0.47380277777777113,77.66203195401732,FairType.ROBUST,diabetes,2
7000,5,33.04439498700003,0.005,"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]",0.0008392857142857091,"[0, 0.0008392857142857091, 0]",0.47380277777777113,59.329132104257226,FairType.ROBUST,diabetes,2
8000,5,45.729848014000254,0.005,"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]",0.00123611111111116,"[0, 0.00019166666666003973, 0.00123611111111116]",0.47380277777777113,89.60189518423815,FairType.ROBUST,diabetes,2
9000,5,59.100859630000286,0.005,"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]",0.0009632716049315926,"[0, 0.00031018518518521887, 0.00031018518518521887, 0.0009632716049315926]",0.47380277777777113,67.35358420135262,FairType.ROBUST,diabetes,2
10000,5,71.98105029199996,0.005,"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]",0.0006805555555555731,"[0, 3.0660377358493474e-05, 0.0004694444444377499, 0.0006805555555555731, 0.0006805555555555731]",0.47380277777777113,70.90020743636418,FairType.ROBUST,diabetes,2
11000,5,40.25688879900008,0.005,"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]",0.0,[0],0.47380277777777113,61.513697192462466,FairType.ROBUST,diabetes,2
12000,5,59.46744639799999,0.005,"[0.47378024999999463, 0.415125]","[0.5986111111111111, 0.5261972222222289]",0.0,[0],0.47380277777777113,64.16109605468289,FairType.ROBUST,diabetes,2
