max_points,num_clusters,Run_Time,m,lowers,uppers,budgetViolation,perClusterVio,worstPossibleFairVio,objective,FairType,name,num_colors
1000,10,3.4815003850007997,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.4721647342995242, 0.47245343478261953],)",0.47245343478261953,31.82878824168397,FairType.DET,diabetes,2
3000,10,13.851343103000545,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.4721647342995242, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953, 0.4721647342995242, 0.4721647342995242],)",0.47245343478261953,31.903185108415805,FairType.DET,diabetes,2
5000,10,17.735479275000216,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242],)",0.47245343478261953,70.80293427616218,FairType.DET,diabetes,2
7000,10,45.93190300399965,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.4721647342995242, 0.4721647342995242, 0.4721647342995242],)",0.47245343478261953,48.46930983207296,FairType.DET,diabetes,2
9000,10,77.69258851999984,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953],)",0.47245343478261953,54.92143377283435,FairType.DET,diabetes,2
11000,10,87.9936966590003,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.4721647342995242, 0.47245343478261953, 0.4721647342995242, 0.4721647342995242],)",0.47245343478261953,60.653440313739324,FairType.DET,diabetes,2
13000,10,89.42716414499955,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.4721647342995242, 0.47245343478261953, 0.4721647342995242, 0.4721647342995242, 0.4721647342995242],)",0.47245343478261953,65.93765814017415,FairType.DET,diabetes,2
15000,10,101.91267971800062,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953, 0.4721647342995242, 0.4721647342995242, 0.4721647342995242],)",0.47245343478261953,70.8413963416521,FairType.DET,diabetes,2
17000,10,147.15437817600014,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953, 0.4721647342995242, 0.4721647342995242, 0.4721647342995242],)",0.47245343478261953,75.34752333628148,FairType.DET,diabetes,2
19000,10,235.09669709899936,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953, 0.4721647342995242],)",0.47245343478261953,97.87615408425867,FairType.DET,diabetes,2
21000,10,479.7451801269999,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953],)",0.47245343478261953,84.06394525465495,FairType.DET,diabetes,2
23000,10,385.17822373299987,[0.005],"[0.47245343478261953, 0.4164652173913043]","[0.5969565217391304, 0.5278352657004758]","(0.47245343478261953,)","([0, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.4721647342995242, 0.47245343478261953, 0.47245343478261953, 0.47245343478261953, 0.4721647342995242, 0.47245343478261953],)",0.47245343478261953,87.96554871229446,FairType.DET,diabetes,2
