m,noise_model,violation,objective,num_colors,per_cluster_vio,worst_possible_fair_vio,fair_type,dataset,lowers,uppers
0.001,color_1_gains_more,0,20.110041169312186,2,"[0, 0]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.002,color_1_gains_more,0.004531284144312864,21.13030549501436,2,"[0, 0.004531284144312864]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.003,color_1_gains_more,0.0015910903588133296,21.58219986647147,2,"[0, 0.0015910903588133296]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.004,color_1_gains_more,0.001142930400181985,22.007914577438395,2,"[0, 0.001142930400181985]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.005,color_1_gains_more,0.0010261868349930592,22.182594982478744,2,"[0, 0.0010261868349930592]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.006,color_1_gains_more,0.0007800700236711422,22.397015619081262,2,"[0, 0.0007800700236711422]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.007,color_1_gains_more,0.0009068753252001183,22.55797811747808,2,"[0, 0.0009068753252001183]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.008,color_1_gains_more,0,22.68123842731072,2,"[0, 0]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.009000000000000001,color_1_gains_more,0.0011621329226588761,22.783368450363245,2,"[0, 0.0011621329226588761]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.01,color_1_gains_more,0.0004603687989974681,22.872740665907248,2,"[0, 0.0004603687989974681]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
