m,noise_model,violation,objective,num_colors,per_cluster_vio,worst_possible_fair_vio,fair_type,dataset,lowers,uppers
0.001,equally_noisy,0.0028515504115086965,20.561887830579238,2,"[0, 0.0028515504115086965]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.002,equally_noisy,0.0022203701043342905,21.54832861293143,2,"[0, 0.0022203701043342905]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.003,equally_noisy,0.0015760402074270763,21.995920988336827,2,"[0, 0.0015760402074270763]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.004,equally_noisy,0.0008659749995516552,22.346815237394043,2,"[0, 0.0008659749995516552]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.005,equally_noisy,0.0006016526795874499,22.55797811747808,2,"[0, 0.0006016526795874499]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.006,equally_noisy,0.0007732879138491189,22.731948302810085,2,"[0, 0.0007732879138491189]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.007,equally_noisy,0.000673150961841229,22.847934411878942,2,"[0, 0.000673150961841229]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.008,equally_noisy,0.0009692440909221944,22.99179398112015,2,"[0, 0.0009692440909221944]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.009000000000000001,equally_noisy,0.00038226225050724816,23.087583326268074,2,"[0, 0.00038226225050724816]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
0.01,equally_noisy,0.00045996877885562393,23.165804551051913,2,"[0, 0.00045996877885562393]",0.5640760402074271,FairType.ROBUST,bank_binary_marital,"[0.5469015925680158, 0.3332984074319841]","[0.6996315957629826, 0.4359239597925729]"
